1024,  4107,  completed,  eof,  2018-09-19 22:22:34,  2018-09-19 22:22:37,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00932742344115.modelParams|sensorParams|encoders|cpu:n_60.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00932742344115,  60,  0.1,  6.74953607586,  34.8968704225, 
1024,  4108,  completed,  eof,  2018-09-19 22:22:35,  2018-09-19 22:22:39,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.011244257904.modelParams|sensorParams|encoders|cpu:n_58.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.011244257904,  58,  0.1,  6.79122671034,  35.112421929, 
1024,  4109,  completed,  eof,  2018-09-19 22:22:35,  2018-09-19 22:22:41,  6,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0171242315869.modelParams|sensorParams|encoders|cpu:n_114.modelParams|spParams|synPermInactiveDec_0.0996760486873,  30,  9,  12,  1,  0.0171242315869,  114,  0.0996760486873,  6.41843103448,  33.184970583, 
1024,  4110,  completed,  eof,  2018-09-19 22:22:36,  2018-09-19 22:22:41,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0101536004221.modelParams|sensorParams|encoders|cpu:n_55.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0101536004221,  55,  0.1,  6.56018105576,  33.9178553427, 
1024,  4111,  completed,  eof,  2018-09-19 22:22:37,  2018-09-19 22:22:42,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00787174662936.modelParams|sensorParams|encoders|cpu:n_43.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00787174662936,  43,  0.1,  6.10835928474,  31.5818183736, 
1024,  4112,  completed,  eof,  2018-09-19 22:22:38,  2018-09-19 22:22:43,  5,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00860223025489.modelParams|sensorParams|encoders|cpu:n_56.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00860223025489,  56,  0.1,  6.55750071093,  33.9039972574, 
1024,  4113,  completed,  eof,  2018-09-19 22:22:39,  2018-09-19 22:22:44,  5,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0210979328639.modelParams|sensorParams|encoders|cpu:n_101.modelParams|spParams|synPermInactiveDec_0.0889939474301,  30,  10,  13,  2,  0.0210979328639,  101,  0.0889939474301,  6.11831034483,  31.6332679622, 
1024,  4114,  completed,  eof,  2018-09-19 22:22:40,  2018-09-19 22:22:44,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00871135159422.modelParams|sensorParams|encoders|cpu:n_57.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00871135159422,  57,  0.1,  6.46902901783,  33.4465754175, 
1024,  4115,  completed,  eof,  2018-09-19 22:22:41,  2018-09-19 22:22:45,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00907420590787.modelParams|sensorParams|encoders|cpu:n_56.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00907420590787,  56,  0.1,  6.58219381438,  34.0316670738, 
1024,  4116,  completed,  eof,  2018-09-19 22:22:42,  2018-09-19 22:22:45,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00624174435311.modelParams|sensorParams|encoders|cpu:n_45.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00624174435311,  45,  0.1,  6.23407225547,  32.2317873789, 
1024,  4117,  completed,  eof,  2018-09-19 22:22:43,  2018-09-19 22:22:46,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00841700802578.modelParams|sensorParams|encoders|cpu:n_46.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00841700802578,  46,  0.1,  6.2037594226,  32.0750620887, 
1024,  4118,  completed,  eof,  2018-09-19 22:22:44,  2018-09-19 22:22:48,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00553835276511.modelParams|sensorParams|encoders|cpu:n_37.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00553835276511,  37,  0.1,  6.53173558327,  33.7707847949, 
1024,  4127,  completed,  eof,  2018-09-19 22:22:45,  2018-09-19 22:22:48,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00816990837257.modelParams|sensorParams|encoders|cpu:n_45.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00816990837257,  45,  0.1,  6.17495389502,  31.9261299618, 
1024,  4130,  completed,  eof,  2018-09-19 22:22:45,  2018-09-19 22:22:49,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00906798229104.modelParams|sensorParams|encoders|cpu:n_48.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00906798229104,  48,  0.1,  6.50579254919,  33.6366525096, 
1024,  4131,  completed,  eof,  2018-09-19 22:22:46,  2018-09-19 22:22:50,  4,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00411110715538.modelParams|sensorParams|encoders|cpu:n_37.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00411110715538,  37,  0.1,  6.53173558327,  33.7707847949, 
1024,  4132,  completed,  eof,  2018-09-19 22:22:47,  2018-09-19 22:22:50,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0112232237198.modelParams|sensorParams|encoders|cpu:n_59.modelParams|spParams|synPermInactiveDec_0.0972720630905,  30,  9,  12,  1,  0.0112232237198,  59,  0.0972720630905,  6.61893860828,  34.2216472883, 
1024,  4133,  completed,  eof,  2018-09-19 22:22:47,  2018-09-19 22:22:50,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00645823236883.modelParams|sensorParams|encoders|cpu:n_40.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00645823236883,  40,  0.1,  6.33791314285,  32.7686719812, 
1024,  4134,  completed,  eof,  2018-09-19 22:22:48,  2018-09-19 22:22:51,  3,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00793194880961.modelParams|sensorParams|encoders|cpu:n_46.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00793194880961,  46,  0.1,  6.2037594226,  32.0750620887, 
1024,  4135,  completed,  eof,  2018-09-19 22:22:49,  2018-09-19 22:22:51,  2,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.00683101060013.modelParams|sensorParams|encoders|cpu:n_40.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.00683101060013,  40,  0.1,  6.33791314285,  32.7686719812, 


jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|cpu:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=cpu,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=cpu, 
1025,  4137,  completed,  eof,  2018-09-19 22:24:40,  2018-09-19 22:24:47,  7,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|cpu:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  30,  11,  14,  3,  0.05005,  272,  0.05015,  0.0,  0.0, 
1025,  4208,  completed,  eof,  2018-09-19 22:24:41,  2018-09-19 22:24:47,  6,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_22.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0001,  22,  0.1,  0.0,  0.0, 
1025,  4269,  completed,  eof,  2018-09-19 22:24:42,  2018-09-19 22:24:51,  9,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|cpu:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  30,  12,  16,  5,  0.1,  521,  0.0003,  0.0,  0.0, 
1025,  4320,  completed,  eof,  2018-09-19 22:24:44,  2018-09-19 22:24:50,  6,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|cpu:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  30,  10,  13,  2,  0.025075,  147,  0.075075,  0.0,  0.0, 
1025,  4361,  completed,  eof,  2018-09-19 22:24:45,  2018-09-19 22:24:51,  6,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|cpu:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  30,  11,  15,  4,  0.075025,  396,  0.025225,  0.0,  0.0, 
1025,  4392,  completed,  eof,  2018-09-19 22:24:47,  2018-09-19 22:24:49,  2,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|cpu:n_47.modelParams|spParams|synPermInactiveDec_0.1,  30,  9,  12,  1,  0.0001,  47,  0.1,  0.0,  0.0, 
1025,  4393,  completed,  eof,  2018-09-19 22:24:48,  2018-09-19 22:24:50,  2,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.055045.modelParams|sensorParams|encoders|cpu:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  30,  11,  14,  3,  0.055045,  296,  0.055135,  0.0,  0.0, 
